KG id,License machine redeable (metadata),License machine redeable (query)
unescothes,Creative Commons Non-Commercial (Any) - cc-nc -,http://creativecommons.org/licenses/by-sa/3.0/igo/
UniProt,http://www.opendefinition.org/licenses/cc-by,http://creativecommons.org/licenses/by/4.0/
uniprot,Not indicated,-
uniprotkb,http://www.opendefinition.org/licenses/cc-by,http://creativecommons.org/licenses/by/4.0/
universidad-de-cuenca-linkeddata,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by/3.0/
uriburner,Not indicated,http://creativecommons.org/licenses/by/3.0/
warsampo,http://www.opendefinition.org/licenses/cc-by,http://creativecommons.org/licenses/by/4.0/
wasabi,http://www.opendefinition.org/licenses/cc-by-sa,cc-by
webisalod,Not indicated,-
wikidata,http://www.opendefinition.org/licenses/cc-zero,http://creativecommons.org/publicdomain/zero/1.0/
ww1lod,http://www.opendefinition.org/licenses/cc-by-sa,http://www.opendatacommons.org/licenses/pddl/1.0/
wl-kg,http://www.opendefinition.org/licenses/cc-by,-
ipbes,http://www.opendefinition.org/licenses/cc-by,-
